produto_id;support_vector_regression
5318;1.0999481529240478
1134;1.1000503985104326
1604;1.899790765297852
2343;2.899645838679847
4181;3.9218843054402264
4726;1.899740193113435
5211;1.1000389683100322
1057;1.1008529499920505
1089;71.9240506505105
1247;1.0999099457510098
2592;1.0999929884393862
3714;24.134797721678368
3968;28.105134345435516
4552;7.915188239923036
5316;1.0999955032823159
7578;20.910008002921675
8023;1.8999793397635165
180;1.1006806781051712
333;2.1012942196451765
1255;1.9004506524081646
3625;1.8993004928505117
3795;1.1001500481729178
4288;3.096679143747869
4570;3.910200887971263
5715;2.9004660885553144
5718;2.0999300624684527
6140;16.10406318483673
11520;1.1001617635459655
22;2.8960322773007725
32;1.100094957996821
71;1.0998048227463482
309;15.903289482693923
496;5.898871847732931
985;8.098920941933967
1235;1.1000283005471976
1254;4.5029485717563675
1256;2.9014308932864914
1275;1.100042953833911
1317;7.900133902691897
1426;4.107092429426191
1830;1.0999958660728675
2162;1.0999933740318988
2166;1.1083219023285977
2285;1.1000296128235139
2403;1.0999985066763895
2591;1.1000076906225498
2955;1.1000019537620376
4207;1.8999785357682462
4259;2.102818253204491
5405;1.1000079732037356
5737;1.100047281591813
5937;1.1000458266233362
18601;2.9074833662402315
19614;1.1000214746713748
19615;1.9014224076070083
19621;1.100000718407085
334;1.9034217655004666
1889;6.939616040801627
2348;3.900213211170479
2349;1.0999492475764858
2873;1.0999784870934195
2663;32.10634726711591
5134;1.099986104280232
11053;1.1000063042396164
19683;1.0999683036295935
1831;1.100004782878156
2167;1.1000104707048006
3365;1.0999932852009717
24;2.1003052012559653
26;19.900527292546162
70;4.1000211689164425
119;4.100023107285827
134;1.099979158753161
337;1.9076524160852768
435;56.10057593598666
444;4.099958195150992
459;8.100881112872733
490;4.101120142688323
525;1.0999937097280403
1041;4.100007833813846
1248;1.0999722694181153
1477;1.8999652967662435
1654;1.9006426781369457
1792;1.900127867812004
1886;1.100023143013854
1921;1.1001811523710252
1941;1.0999902088808424
2102;2.1007113087443976
2125;1.0999994287100807
