produto_id;media_aritimetica
1;1.1551724137931034
2;1.0
5;1.0
11;1.0
19;1.0
20;1.4976851851851851
21;1.2545454545454546
22;4.3278195488721805
24;3.796155565489495
25;2.0230414746543777
26;22.75325077399381
27;2.0598159509202456
28;1.8567567567567567
29;1.2265625
30;1.7764298093587523
31;1.380952380952381
32;1.9401709401709402
33;1.6352201257861636
34;1.2830188679245282
35;1.647239263803681
36;1.98
37;2.736129905277402
38;1.5797101449275361
39;2.4111801242236024
40;1.948905109489051
41;1.4723926380368098
42;1.1958762886597938
43;2.6419753086419755
46;1.1538461538461537
47;1.1712473572938689
49;1.1662971175166297
52;1.1428571428571428
53;1.0
54;1.1041666666666667
55;2.3407894736842105
56;1.9744637385086823
57;1.6154900616860863
58;1.0
59;1.0555555555555556
60;6.2242295430393195
62;1.2627737226277371
63;3.3593314763231197
66;1.1607142857142858
67;1.0
68;1.76
70;6.356127886323268
71;1.7478143913920645
75;2.0
76;5.31924882629108
77;1.2886075949367088
78;1.0952380952380953
81;1.1372549019607843
82;1.0
83;1.191542288557214
84;1.5542168674698795
85;2.4095238095238094
86;4.938775510204081
89;1.1111111111111112
91;1.7373020207536864
92;1.0
94;1.158878504672897
95;11.8
97;5.87408184679958
99;1.5833333333333333
102;2.3696969696969696
105;1.0
106;1.1076923076923078
107;1.508361204013378
108;1.25
111;1.67351598173516
112;1.1030927835051547
113;1.0526315789473684
114;1.0
115;1.5
116;2.1858974358974357
117;3.3225806451612905
118;1.125
119;6.576883384932921
122;2.775238095238095
123;1.3571428571428572
124;7.059322033898305
125;1.3333333333333333
126;1.0444444444444445
127;1.024793388429752
133;0.8461538461538461
134;1.5656565656565657
135;2.475
140;1.0
141;2.132867132867133
142;1.0
143;1.125
145;1.125
147;1.0
150;1.6298342541436464
153;1.1066666666666667
163;1.1428571428571428
164;1.3333333333333333
165;1.989795918367347
166;1.5
168;1.0
169;1.0
170;1.5777777777777777
171;1.4645390070921986
172;1.6666666666666667
173;1.0
174;1.8349514563106797
175;1.0619469026548674
176;1.0
178;1.0495867768595042
180;2.3789473684210525
181;1.0
183;1.25
184;1.8205128205128205
186;1.0526315789473684
188;1.2247191011235956
191;1.3709677419354838
192;1.25
193;1.4193548387096775
194;1.3125
195;1.0
196;1.0
197;1.3177570093457944
198;1.25
199;1.05
200;1.1
201;1.1111111111111112
202;1.170731707317073
203;1.0
